id;p_1;p_2;p_3;p_4;p_5;p_6;p_7;p_8;p_9;p_10;resultat
1;10;10;10;10;10;9;9;9;9;9;95
2;11;10;11;9;9;9;9;9;9;9;93
3;9;9;10;11;11;9;9;9;9;9;93
4;9;9;9;9;10;10;10;10;10;11;96
5;9;9;9;9;9;9;9;9;9;10;91
6;9;10;11;11;10;9;11;10;10;11;98
7;10;11;10;10;9;11;11;11;10;11;99
8;9;10;9;9;9;9;9;9;9;8;90
9;8;8;8;8;8;8;8;8;8;8;80
10;8;8;8;8;9;8;10;8;10;8;85
11;9;10;11;9;9;10;11;9;9;10;95
12;9;9;9;10;10;10;10;10;10;10;93
13;10;11;10;9;9;9;9;10;10;9;95
14;10;10;10;9;9;9;9;9;9;10;94
15;10;10;10;10;10;9;9;9;9;9;95
16;11;10;11;9;9;9;9;9;9;9;93
